Size,Amount(in rupees),location,Floor,Transaction,Furnishing,Bathroom,Balcony
3,195,67,4,2,2,3,0
2,100,67,13,2,3,2,1
1,75,67,3,2,2,2,2
2,110.00000000000001,67,7,2,3,2,0
3,269,67,4,2,3,3,0
2,175,67,10,2,3,2,0
2,140,67,1,2,3,2,1
1,23.5,67,5,2,3,1,1
2,31,67,5,2,3,2,0
3,285,67,9,2,3,3,1
1,18.5,67,1,2,3,2,3
1,135,67,9,1,3,1,1
2,102,67,15,2,3,2,1
2,36,67,16,2,3,2,0
2,68,67,3,2,3,2,0
4,350,67,18,1,3,4,1
4,579,67,13,2,2,5,1
2,100,67,12,2,2,2,0
1,75,67,28,2,1,2,2
3,225,67,10,2,2,3,0
3,275,67,12,2,3,3,1
1,28,67,0,2,3,1,0
2,33.3,67,5,1,3,2,2
3,145,67,6,2,3,3,1
1,53.5,67,4,1,3,2,4
1,25,67,3,1,3,1,1
2,130,67,24,1,3,2,0
1,30,67,5,2,3,1,1
2,83,67,4,2,3,2,0
3,219,67,12,2,2,3,0
2,122,67,25,2,2,2,1
3,210,67,16,1,3,3,1
1,25.2,67,3,2,2,1,0
2,89,67,9,1,3,2,3
2,95,67,3,2,2,2,0
1,65,67,10,1,3,2,0
1,27.5,67,2,2,3,1,0
2,31.1,67,10,2,1,2,0
1,25,67,1,2,3,1,0
2,141,67,13,2,3,2,1
2,76,67,15,2,3,2,2
1,22,67,2,2,3,1,0
2,108,67,11,2,3,2,2
1,51,67,1,2,3,2,3
1,40,67,7,2,3,1,0
2,140,67,11,2,3,2,3
3,225,67,0,2,3,3,3
1,34,67,9,1,3,2,3
3,220.00000000000003,67,9,1,3,3,1
2,54,67,5,1,3,2,3
1,79,67,23,2,3,2,0
1,66,67,4,2,2,1,0
3,190,67,0,2,3,2,0
2,140,67,27,2,2,2,2
1,60,67,17,2,3,2,0
2,65,67,2,2,3,2,0
2,41,67,2,2,1,2,3
2,90,67,6,2,3,2,0
1,21,67,4,2,3,1,1
1,62,67,23,2,2,2,0
2,32.9,67,5,1,3,2,2
2,45,67,4,2,3,1,0
2,75,67,2,2,3,2,1
3,51,67,6,2,2,3,0
4,280,67,12,2,3,3,1
2,120,67,5,2,2,2,2
1,26,67,4,2,3,1,0
1,35,67,2,2,1,2,0
1,47,67,9,1,2,1,0
2,143,67,32,2,2,2,2
1,19,67,4,2,3,1,0
1,15,67,4,2,3,1,0
4,240,67,14,2,3,4,1
3,200,67,5,2,3,3,3
2,160,67,16,2,2,2,1
2,72,67,14,2,2,2,0
1,14.5,67,1,2,2,1,0
1,75.1,67,12,2,3,2,0
2,140,67,1,1,3,2,0
1,39,67,2,2,0,1,0
1,48,67,3,2,3,2,1
2,206.99999999999997,67,25,1,2,2,1
3,204.99999999999997,67,9,2,3,3,1
1,35,67,5,2,3,1,1
2,120,67,20,2,2,2,0
2,165,67,12,1,3,2,3
1,59,67,8,2,2,1,1
1,85,67,4,2,1,1,1
1,60.5,67,4,1,3,2,2
1,40,67,1,2,3,1,0
3,225,67,12,2,3,3,1
3,185,67,5,2,3,3,1
3,195,67,12,2,2,2,0
2,73,67,9,2,2,2,2
2,165,67,1,2,2,2,1
2,121,67,10,2,3,2,1
3,145,67,3,2,2,2,2
2,145,67,17,2,1,2,0
2,135,67,2,2,3,2,2
2,265,67,7,1,3,2,2
1,65,67,4,2,3,1,2
1,25,67,6,2,2,1,0
2,112.99999999999999,67,13,2,2,2,1
2,175,67,3,1,3,2,0
2,78,67,4,2,2,1,1
3,249.00000000000003,67,4,1,3,3,3
1,55,67,4,2,2,1,0
1,75,67,4,2,0,2,0
2,110.00000000000001,67,2,2,0,2,0
1,52,67,2,2,0,1,0
1,80,67,0,2,1,1,0
2,185,67,10,2,2,2,1
1,18,67,2,2,3,1,0
1,21,67,1,2,2,2,0
2,110.00000000000001,67,16,1,3,2,0
2,129,67,5,1,3,2,0
3,131,67,2,1,3,3,0
3,146,67,5,1,3,3,0
3,180,67,12,2,2,3,0
3,190,67,14,1,2,3,0
2,151,67,3,2,2,2,0
3,240,67,15,1,3,3,1
3,210,67,27,2,1,3,2
2,47,67,7,2,2,2,0
3,240,67,10,2,2,2,1
2,23,67,5,2,3,2,0
2,120,67,5,2,2,3,0
1,54,67,2,2,3,1,0
1,45,67,5,2,3,1,2
1,60,67,7,2,3,2,3
1,42,67,3,2,3,1,0
1,51,67,0,2,2,1,0
2,111.00000000000001,67,2,2,1,1,0
2,89,67,11,1,3,2,4
2,114.99999999999999,67,15,2,2,2,2
1,25,67,1,2,2,1,1
3,45,67,0,2,2,3,0
1,31,67,4,2,3,1,0
1,28,67,1,2,2,1,0
1,28,67,2,2,3,1,2
1,35,67,13,2,3,1,0
3,425,67,18,2,2,3,1
2,27,67,1,2,3,2,1
2,174,67,13,2,3,2,0
3,155,67,5,2,3,3,1
1,69,67,14,2,3,2,1
1,60,67,7,2,3,1,1
2,45,67,4,2,3,2,1
2,40,67,4,2,1,2,0
3,247.00000000000003,67,5,2,2,2,2
5,511.00000000000006,67,17,2,1,4,2
2,112.00000000000001,67,11,2,2,2,2
2,45,67,4,2,3,2,1
2,98,67,6,2,3,2,0
2,68.5,67,13,1,2,2,1
3,231,67,28,1,3,3,3
1,51,67,18,1,2,2,1
1,20,67,4,2,2,1,0
3,275,67,13,2,3,3,1
2,47.5,67,6,2,2,2,0
3,233,67,28,1,3,3,3
1,27.5,67,2,2,3,2,3
1,62,67,0,2,3,1,0
1,61,67,12,2,1,2,0
1,65,67,9,2,1,1,0
1,20,67,2,2,1,1,0
1,22,67,1,2,3,1,2
2,85,67,6,2,2,2,3
2,86.5,67,1,2,2,2,1
1,44,67,6,2,2,2,2
2,170,67,8,1,3,2,1
3,189,67,8,2,3,3,1
1,65,67,4,2,2,1,0
